Województwo,Powiat,Gmina,Miejscowość,Ulica (jeśli dotyczy),Typ punktu/Kategoria obszaru,WGS84 X,WGS84 Y,Parametr pomiaru,Data pomiaru,Wynik pomiaru [V/m],Niepewność pomiaru [V/m],Wartość maksymalna (Emax) [V/m],Niepewność pomiaru  [V/m],Wartość wskaźnika poziomu emisji pól elektromagnetycznych WME (z obliczeń)
WOJ. MAZOWIECKIE,Powiat otwocki,Sobienie-Jeziory,Sobienie-Jeziory		,,Gminy wiejskie,21.303556,51.932511,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-14,"<0,28",,0.8,0.4,0.04
WOJ. MAZOWIECKIE,Powiat otwocki,Kołbiel,Kołbiel	,Szkolna	,Gminy wiejskie,21.484331,52.0643,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-21,"<0,28",,0.6,0.3,0.03
WOJ. MAZOWIECKIE,Powiat otwocki,Celestynów,Celestynów		,,Gminy wiejskie,21.382269,52.059361,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-14,"<0,28",,0.6,0.3,0.03
WOJ. MAZOWIECKIE,Powiat otwocki,Wiązowna,Wiązowna	,Lubelska	,Gminy wiejskie,21.293089,52.1729,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-21,0.3,0.2,1.4,0.7,0.08
WOJ. MAZOWIECKIE,Powiat siedlecki,Wodynie,Wodynie	 	,Siedlecka,Gminy wiejskie,21.964814,52.040336,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-05,"<0,28",,0.9,0.5,0.05
WOJ. MAZOWIECKIE,Powiat siedlecki,Paprotnia,Paprotnia,3 Maja,Gminy wiejskie,22.463269,52.301161,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-13,1.1,0.6,1.8,0.9,0.1
WOJ. MAZOWIECKIE,Powiat siedlecki,Suchożebry,Suchożebry	,Kościelna	,Gminy wiejskie,22.253556,52.258622,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-27,0.3,0.2,0.6,0.3,0.03
WOJ. MAZOWIECKIE,Powiat siedlecki,Mokobody,Mokobody		,,Gminy wiejskie,22.107792,52.267747,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-27,0.3,0.2,0.7,0.4,0.04
WOJ. MAZOWIECKIE,Powiat siedlecki,Korczew,Korczew	,Słoneczna	,Gminy wiejskie,22.615183,52.349325,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-13,"<0,28",,0.6,0.3,0.03
WOJ. MAZOWIECKIE,Powiat siedlecki,Wiśniew,Wiśniew		,,Gminy wiejskie,22.2943,52.073486,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-05,0.4,0.2,1.5,0.8,0.08
WOJ. MAZOWIECKIE,Powiat siedlecki,Domanice,Domanice,,Gminy wiejskie,22.175769,52.036811,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-05,"<0,28",,0.5,0.3,0.03
WOJ. MAZOWIECKIE,Powiat siedlecki,Skórzec,Skórzec		,,Gminy wiejskie,22.137072,52.108933,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-05,0.4,0.2,0.7,0.4,0.04
WOJ. MAZOWIECKIE,Powiat siedlecki,Kotuń,Kotuń	,Szkolna	,Gminy wiejskie,22.066581,52.17945,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-11,"<0,28",,1.9,1,0.1
WOJ. MAZOWIECKIE,Powiat siedlecki,Zbuczyn,Zbuczyn	,Południowa	,Gminy wiejskie,22.442186,52.085058,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-07,0.6,0.3,1,0.5,0.05
WOJ. MAZOWIECKIE,Powiat siedlecki,Siedlce,Nowe Iganie	,Siedlecka 	,Gminy wiejskie,22.220936,52.171639,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-27,0.9,0.5,1.4,0.7,0.08
WOJ. MAZOWIECKIE,Powiat siedlecki,Przesmyki,Przesmyki,,Gminy wiejskie,22.588861,52.269511,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-30,0.6,0.3,1.1,0.6,0.06
WOJ. MAZOWIECKIE,Powiat sokołowski,Ceranów,Ceranów,,Gminy wiejskie,22.228481,52.631569,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-05,"<0,28",,0.6,0.3,0.03
WOJ. MAZOWIECKIE,Powiat sokołowski,Sabnie,Sabnie,,Gminy wiejskie,22.309219,52.496719,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-05,"<0,28",,0.7,0.4,0.04
WOJ. MAZOWIECKIE,Powiat sokołowski,Sterdyń,Sterdyń,Kościelna,Gminy wiejskie,22.295767,52.580856,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-05,"<0,28",,0.5,0.3,0.03
WOJ. MAZOWIECKIE,Powiat sokołowski,Jabłonna Lacka,Jabłonna Lacka,,Gminy wiejskie,22.441542,52.476878,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-05,0.8,0.4,1.4,0.7,0.08
WOJ. MAZOWIECKIE,Powiat sokołowski,Repki,Repki		,,Gminy wiejskie,22.391822,52.385003,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-04,"<0,28",,0.8,0.4,0.04
WOJ. MAZOWIECKIE,Powiat sokołowski,Sokołów Podlaski,Grochów Szlachecki	,Rawicza	,Gminy wiejskie,22.125089,52.398189,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-04,0.5,0.3,1.4,0.7,0.08
WOJ. MAZOWIECKIE,Powiat sokołowski,Bielany,Bielany-Żyłaki,Siedlecka ,Gminy wiejskie,22.245319,52.341781,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-04,"<0,28",,0.5,0.3,0.03
WOJ. MAZOWIECKIE,Powiat węgrowski,Miedzna,Miedzna,Węgrowska,Gminy wiejskie,22.091492,52.463319,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-05,"<0,28",,1.1,0.6,0.06
WOJ. MAZOWIECKIE,Powiat węgrowski,Grębków,Grębków		,,Gminy wiejskie,21.910589,52.269089,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-20,0.3,0.2,0.9,0.5,0.05
WOJ. MAZOWIECKIE,Powiat węgrowski,Stoczek,Stoczek	,3 Maja	,Gminy wiejskie,21.896289,52.5446,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-28,0.9,0.5,1.3,0.7,0.07
WOJ. MAZOWIECKIE,Powiat węgrowski,Sadowne,Sadowne		,,Gminy wiejskie,21.846572,52.640328,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-28,0.8,0.4,1,0.5,0.05
WOJ. MAZOWIECKIE,Powiat węgrowski,Korytnica,Korytnica	,Spółdzielcza/Wyzwolenia	,Gminy wiejskie,21.847769,52.415469,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-28,0.6,0.3,1,0.5,0.05
WOJ. MAZOWIECKIE,Powiat węgrowski,Liw,Liw		,,Gminy wiejskie,21.965792,52.379622,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-04,"<0,28",,0.8,0.4,0.04
WOJ. MAZOWIECKIE,Powiat węgrowski,Wierzbno,Wierzbno,,Gminy wiejskie,21.859511,52.308617,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-24,"<0,28",,0.5,0.3,0.03
WOJ. OPOLSKIE,Powiat m. Opole,M. Opole,Opole,Niemodlińska,Miasta w przedziale powyżej 100000 do 200000 mieszkańców,17.894111,50.661028,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-28,2.1,0.54,2.75,1.04,0.19
WOJ. OPOLSKIE,Powiat m. Opole,M. Opole,Opole,Sosnkowskiego,Miasta w przedziale powyżej 100000 do 200000 mieszkańców,17.943889,50.681111,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-12,2.28,0.55,3.28,1.2,0.22
WOJ. OPOLSKIE,Powiat kędzierzyńsko-kozielski,Kędzierzyn-Koźle,Kędzierzyn-Koźle,Pionierów,Miasta w przedziale powyżej 50000 do 100000 mieszkańców,18.221222,50.347083,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-30,1.95,0.52,2.44,0.92,0.16
WOJ. OPOLSKIE,Powiat nyski,Nysa,Nysa,Rodziewiczówny,Miasta w przedziale powyżej 50000 do 100000 mieszkańców,17.3295,50.460472,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-14,0.7,0.45,2.22,0.87,0.15
WOJ. OPOLSKIE,Powiat nyski,Nysa,Nysa,Bema,Miasta w przedziale powyżej 50000 do 100000 mieszkańców,17.340722,50.476111,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-14,"<0,5",,0.85,0.54,0.07
WOJ. OPOLSKIE,Powiat brzeski,Brzeg,Brzeg,Ciepłownicza,Miasta w przedziale od 20000 do 50000 mieszkańców,17.479556,50.845583,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-23,0.92,0.47,1.32,0.63,0.09
WOJ. OPOLSKIE,Powiat głubczycki,Głubczyce,Głubczyce,Fabryczna,Miasta w przedziale od 20000 do 50000 mieszkańców,17.825028,50.199111,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-26,2.22,0.55,2.63,0.98,0.18
WOJ. OPOLSKIE,Powiat kluczborski,Kluczbork,Kluczbork,Mickiewicza,Miasta w przedziale od 20000 do 50000 mieszkańców,18.208056,50.973389,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-20,"<0,5",,0.68,0.51,0.06
WOJ. OPOLSKIE,Powiat krapkowicki,Krapkowice,Krapkowice,Żeromskiego,Miasta w przedziale od 20000 do 50000 mieszkańców,17.979417,50.481444,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-22,0.75,0.46,1.38,0.65,0.1
WOJ. OPOLSKIE,Powiat namysłowski,Namysłów,Namysłów,Chrobrego,Miasta w przedziale od 20000 do 50000 mieszkańców,17.7155,51.077306,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-07,1.58,0.5,2.06,0.84,0.14
WOJ. OPOLSKIE,Powiat nyski,Głuchołazy,Głuchołazy,Koszyka,Miasta w przedziale od 20000 do 50000 mieszkańców,17.377722,50.318444,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-09,"<0,5",,0.66,0.51,0.06
WOJ. OPOLSKIE,Powiat prudnicki,Prudnik,Prudnik,Rynek,Miasta w przedziale od 20000 do 50000 mieszkańców,17.580944,50.321444,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-11,0.69,0.46,1.14,0.58,0.08
WOJ. OPOLSKIE,Powiat strzelecki,Strzelce Opolskie,Strzelce Opolskie,Krakowska,Miasta w przedziale od 20000 do 50000 mieszkańców,18.307,50.507,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-13,1.16,0.48,1.5,0.68,0.11
WOJ. OPOLSKIE,Powiat brzeski,Grodków,Grodków,Wrocławska,Miasta poniżej 20000 mieszkańców,17.384833,50.70175,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-23,"<0,5",,1.01,0.56,0.08
WOJ. OPOLSKIE,Powiat głubczycki,Baborów,Baborów,Kozielska,Miasta poniżej 20000 mieszkańców,17.986944,50.156583,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-26,"<0,5",,0.92,0.54,0.07
WOJ. OPOLSKIE,Powiat kluczborski,Wołczyn,Wołczyn,Dworcowa,Miasta poniżej 20000 mieszkańców,18.047611,51.015778,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-20,"<0,5",,0.77,0.52,0.06
WOJ. OPOLSKIE,Powiat krapkowicki,Zdzieszowice,Zdzieszowice,Kościuszki,Miasta poniżej 20000 mieszkańców,18.130889,50.425611,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-22,"<0,5",,0.88,0.54,0.07
WOJ. OPOLSKIE,Powiat nyski,Paczków,Paczków,Sienkiewicza,Miasta poniżej 20000 mieszkańców,17.007361,50.460722,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-14,0.66,0.45,1.26,0.63,0.09
WOJ. OPOLSKIE,Powiat oleski,Dobrodzień,Dobrodzień,Plac Wolności,Miasta poniżej 20000 mieszkańców,18.444556,50.728694,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-18,"<0,5",,1.4,0.65,0.1
WOJ. OPOLSKIE,Powiat oleski,Gorzów Śląski,Gorzów Śląski,Wojska Polskiego,Miasta poniżej 20000 mieszkańców,18.422833,51.024833,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-08,1.42,0.49,2.21,0.87,0.15
WOJ. OPOLSKIE,Powiat opolski,Niemodlin,Niemodlin,Drzymały,Miasta poniżej 20000 mieszkańców,17.618083,50.641528,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-08,"<0,5",,0.73,0.51,0.06
WOJ. OPOLSKIE,Powiat opolski,Prószków,Prószków,Daszyńskiego,Miasta poniżej 20000 mieszkańców,17.873861,50.577056,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-24,"<0,5",,0.55,0.5,0.05
WOJ. OPOLSKIE,Powiat prudnicki,Biała,Biała,Czarna,Miasta poniżej 20000 mieszkańców,17.658028,50.383056,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-23,"<0,5",,1.8,0.76,0.12
WOJ. OPOLSKIE,Powiat strzelecki,Zawadzkie,Zawadzkie,Stawowa,Miasta poniżej 20000 mieszkańców,18.480889,50.609806,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-13,0.65,0.45,1.14,0.58,0.08
WOJ. OPOLSKIE,Powiat strzelecki,Ujazd,Ujazd,Plac 1 Maja,Miasta poniżej 20000 mieszkańców,18.349306,50.389528,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-30,"<0,5",,0.73,0.51,0.06
WOJ. OPOLSKIE,Powiat głubczycki,Głubczyce,Branice,Główna,Gminy wiejskie,17.660972,50.050556,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-26,"<0,5",,1.46,0.68,0.11
WOJ. OPOLSKIE,Powiat oleski,Radłów,Radłów,Oleska,Gminy wiejskie,18.534194,50.933167,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-07,"<0,5",,0.84,0.52,0.06
WOJ. OPOLSKIE,Powiat oleski,Rudniki,Rudniki,Wieluńska,Gminy wiejskie,18.597806,51.039389,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-07,"<0,5",,0.55,0.5,0.05
WOJ. OPOLSKIE,Powiat oleski,Zębowice,Zębowice,Murka,Gminy wiejskie,17.344472,50.764222,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-18,"<0,5",,0.61,0.5,0.05
WOJ. OPOLSKIE,Powiat opolski,Dąbrowa,Dąbrowa,ks. Prof. Sztonyka,Gminy wiejskie,17.753972,50.686917,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-12,"<0,5",,0.79,0.52,0.06
WOJ. OPOLSKIE,Powiat opolski,Dobrzeń Wielki,Dobrzeń Wielki,Reymonta,Gminy wiejskie,17.847194,50.765778,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-17,"<0,5",,1.08,0.58,0.08
WOJ. OPOLSKIE,Powiat opolski,Komprachcice,Komprachcice,Szkolna,Gminy wiejskie,17.809667,50.636611,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-24,"<0,5",,2.15,0.87,0.15
WOJ. OPOLSKIE,Powiat opolski,Popielów,Popielów,Kościuszki,Gminy wiejskie,17.738833,50.823111,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-17,0.65,0.46,0.99,0.56,0.08
WOJ. OPOLSKIE,Powiat prudnicki,Lubrza,Lubrza,Wolności,Gminy wiejskie,17.631389,50.333056,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-23,"<0,5",,0.81,0.52,0.06
WOJ. PODKARPACKIE,Powiat m. Rzeszów,M. Rzeszów,Rzeszów,Zamkowa 13,Miasta w przedziale powyżej 100000 do 200000 mieszkańców,21.999222,50.033472,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-14,0.76,0.47,1.01,0.62,0.06
WOJ. PODKARPACKIE,Powiat m. Rzeszów,M. Rzeszów,Rzeszów,Dębicka 170,Miasta w przedziale powyżej 100000 do 200000 mieszkańców,21.946083,50.053389,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-14,0.49,0.31,0.94,0.58,0.05
WOJ. PODKARPACKIE,Powiat m. Rzeszów,M. Rzeszów,Rzeszów,"o. Zimowit, ul. Jaśminowa 1/3",Miasta w przedziale powyżej 100000 do 200000 mieszkańców,22.022833,50.010639,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-14,"<0,3",,0.63,0.39,0.04
WOJ. PODKARPACKIE,Powiat m. Rzeszów,M. Rzeszów,Rzeszów,Monte Cassino 10,Miasta w przedziale powyżej 100000 do 200000 mieszkańców,22.021,50.037361,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-14,"<0,3",,0.76,0.47,0.04
WOJ. PODKARPACKIE,Powiat m. Przemyśl,M. Przemyśl,Przemyśl,"os. Śródmieście, ul. Rynek 1",Miasta w przedziale powyżej 50000 do 100000 mieszkańców,22.768861,49.782139,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-05,0.74,0.46,0.85,0.53,0.05
WOJ. PODKARPACKIE,Powiat m. Przemyśl,M. Przemyśl,Przemyśl,Brudzewskiego 14,Miasta w przedziale powyżej 50000 do 100000 mieszkańców,22.782528,49.789028,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-23,0.75,0.47,0.99,0.61,0.06
WOJ. PODKARPACKIE,Powiat m. Przemyśl,M. Przemyśl,Przemyśl,3 Maja 25,Miasta w przedziale powyżej 50000 do 100000 mieszkańców,22.76555,49.788678,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-23,1.71,1.06,1.95,1.21,0.11
WOJ. PODKARPACKIE,Powiat brzozowski,Brzozów,Brzozów,Pl. Grunwaldzki ,Miasta w przedziale od 20000 do 50000 mieszkańców,22.01975,49.69475,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-08,1.18,0.73,1.45,0.9,0.08
WOJ. PODKARPACKIE,Powiat brzozowski,Brzozów,Brzozów,Bielawskiego 18,Miasta w przedziale od 20000 do 50000 mieszkańców,22.027436,49.691792,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-08,1.41,0.87,1.63,1.01,0.09
WOJ. PODKARPACKIE,Powiat jasielski,Jasło,Jasło,Słowackiego,Miasta w przedziale od 20000 do 50000 mieszkańców,21.467731,49.744539,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-24,0.54,0.34,0.76,0.47,0.04
WOJ. PODKARPACKIE,Powiat jasielski,Jasło,Jasło,Pl. Żwirki i Wigury 8,Miasta w przedziale od 20000 do 50000 mieszkańców,21.472617,49.7465,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-24,1.15,0.71,1.31,0.81,0.08
WOJ. PODKARPACKIE,Powiat leżajski,Nowa Sarzyna,Nowa Sarzyna,Konopnickiej,Miasta w przedziale od 20000 do 50000 mieszkańców,22.340458,50.31755,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-17,0.57,0.35,0.86,0.54,0.05
WOJ. PODKARPACKIE,Powiat leżajski,Nowa Sarzyna,Nowa Sarzyna,Łukasiewicza 2,Miasta w przedziale od 20000 do 50000 mieszkańców,22.331028,50.3316,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-17,"<0,3",,0.71,0.44,0.4
WOJ. PODKARPACKIE,Powiat ropczycko-sędziszowski,Ropczyce,Ropczyce,Konopnickiej 3,Miasta w przedziale od 20000 do 50000 mieszkańców,21.617,50.052944,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-06,0.48,0.3,0.68,0.42,0.04
WOJ. PODKARPACKIE,Powiat ropczycko-sędziszowski,Ropczyce,Ropczyce,Konarskiego 4,Miasta w przedziale od 20000 do 50000 mieszkańców,21.604089,50.060022,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-06,"<0,3",,0.75,0.47,0.04
WOJ. PODKARPACKIE,Powiat rzeszowski,Boguchwała,Boguchwała,Suszyckich,Miasta w przedziale od 20000 do 50000 mieszkańców,21.939072,49.980547,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-18,"<0,3",,0.75,0.62,0.06
WOJ. PODKARPACKIE,Powiat rzeszowski,Boguchwała,Boguchwała,Lubomirskiego 2,Miasta w przedziale od 20000 do 50000 mieszkańców,21.947086,49.985314,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-18,0.65,0.4,0.96,0.47,0.04
WOJ. PODKARPACKIE,Powiat m. Tarnobrzeg,M. Tarnobrzeg,Tarnobrzeg,Wyspiańskiego 14,Miasta w przedziale od 20000 do 50000 mieszkańców,21.675306,50.568833,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-20,"<0,3",,0.52,0.32,0.03
WOJ. PODKARPACKIE,Powiat m. Tarnobrzeg,M. Tarnobrzeg,Tarnobrzeg,Dąbrowskiej 10,Miasta w przedziale od 20000 do 50000 mieszkańców,21.686317,50.574264,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-20,0.6,0.37,0.67,0.42,0.04
WOJ. PODKARPACKIE,Powiat bieszczadzki,Ustrzyki Dolne,Ustrzyki Dolne,Dobra 6,Miasta poniżej 20000 mieszkańców,22.584039,49.43205,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-11,0.75,0.47,1.11,0.69,0.06
WOJ. PODKARPACKIE,Powiat dębicki,Brzostek,Brzostek,Szkolna 9,Miasta poniżej 20000 mieszkańców,21.412767,49.879433,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-06,"<0,3",,0.48,0.3,0.03
WOJ. PODKARPACKIE,Powiat jarosławski,Radymno,Radymno,Złota Góra 13,Miasta poniżej 20000 mieszkańców,22.8291,49.942594,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-05,1.15,0.71,1.42,0.88,0.08
WOJ. PODKARPACKIE,Powiat jarosławski,Pruchnik,Pruchnik,Bronisław Markiewicza,Miasta poniżej 20000 mieszkańców,22.511008,49.904389,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-06,"<0,3",,0.74,0.46,0.04
WOJ. PODKARPACKIE,Powiat krośnieński,Iwonicz-Zdrój,Iwonicz-Zdrój,Słoneczna 17,Miasta poniżej 20000 mieszkańców,21.792461,49.565983,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-10,"<0,3",,0.71,0.44,0.04
WOJ. PODKARPACKIE,Powiat krośnieński,Jedlicze,Jedlicze,Rynek 7a,Miasta poniżej 20000 mieszkańców,21.642744,49.711806,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-10,1.6,0.99,2.24,1.39,0.13
WOJ. PODKARPACKIE,Powiat lubaczowski,Lubaczów,Lubaczów,Legionów 4,Miasta poniżej 20000 mieszkańców,23.12135,50.156581,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-23,1.39,0.86,1.79,1.11,0.1
WOJ. PODKARPACKIE,Powiat lubaczowski,Cieszanów,Cieszanów,Kościuszki 6,Miasta poniżej 20000 mieszkańców,23.133053,50.246497,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-23,0.72,0.45,1.12,0.7,0.06
WOJ. PODKARPACKIE,Powiat łańcucki,Łańcut,Łańcut,os. Gen. Maczka 1,Miasta poniżej 20000 mieszkańców,22.222486,50.064133,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-11,0.99,0.61,1.13,0.7,0.07
WOJ. PODKARPACKIE,Powiat mielecki,Przecław,Przecław,Kilińskiego 6,Miasta poniżej 20000 mieszkańców,21.479767,50.194972,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-13,"<0,3",,0.49,0.3,0.03
WOJ. PODKARPACKIE,Powiat niżański,Rudnik nad Sanem,Rudnik nad Sanem,Chopnina 22,Miasta poniżej 20000 mieszkańców,22.253642,50.438047,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-17,0.74,0.46,0.98,0.61,0.06
WOJ. PODKARPACKIE,Powiat przeworski,Przeworsk,Przeworsk,Rynek 13,Miasta poniżej 20000 mieszkańców,22.492997,50.056514,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-05,"<0,3",,0.54,0.34,0.03
WOJ. PODKARPACKIE,Powiat przeworski,Kańczuga,Kańczuga,Konopnickiej 4,Miasta poniżej 20000 mieszkańców,22.416397,49.981586,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-06,"<0,3",,0.8,0.5,0.05
WOJ. PODKARPACKIE,Powiat rzeszowski,Dynów,Dynów,Polna 3,Miasta poniżej 20000 mieszkańców,22.227833,49.820411,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-12,0.65,0.4,0.75,0.47,0.04
WOJ. PODKARPACKIE,Powiat rzeszowski,Głogów Małopolski,Głogów Małopolski,Kościelna 8,Miasta poniżej 20000 mieszkańców,21.964058,50.153283,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-25,"<0,3",,0.68,0.42,0.04
WOJ. PODKARPACKIE,Powiat sanocki,Zagórz,Zagórz,3 Maja 2,Miasta poniżej 20000 mieszkańców,22.2639,49.510067,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-11,0.52,0.32,0.71,0.44,0.04
WOJ. PODKARPACKIE,Powiat stalowowolski,Zaklików,Zaklików,Zachodnia 3,Miasta poniżej 20000 mieszkańców,22.101861,50.7556,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-30,"<0,3",,0.58,0.36,0.03
WOJ. PODKARPACKIE,Powiat tarnobrzeski,Nowa Dęba,Nowa Dęba,Jana Pawła II 4,Miasta poniżej 20000 mieszkańców,21.752403,50.413167,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-20,0.6,0.37,0.79,0.49,0.05
WOJ. PODKARPACKIE,Powiat brzozowski,Dydnia,Dydnia,,Gminy wiejskie,22.169164,49.687353,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-08,"<0,3",,0.67,0.41,0.04
WOJ. PODKARPACKIE,Powiat dębicki,Dębica,Paszczyna,,Gminy wiejskie,21.518267,50.087917,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-06,"<0,3",,0.65,0.4,0.04
WOJ. PODKARPACKIE,Powiat jarosławski,Jarosław,Pełkinie,,Gminy wiejskie,22.624511,50.062264,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-11,0.84,0.52,1.14,0.71,0.07
WOJ. PODKARPACKIE,Powiat jarosławski,Wiązownica,Radawa,,Gminy wiejskie,22.757689,50.134478,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-11,1.19,0.74,1.61,1,0.09
WOJ. PODKARPACKIE,Powiat jasielski,Krempna,Ożenna,,Gminy wiejskie,21.454439,49.431233,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-24,0.69,0.43,1.02,0.63,0.06
WOJ. PODKARPACKIE,Powiat jasielski,Skołyszyn,Przysieki,,Gminy wiejskie,21.38065,49.735478,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-24,0.67,0.42,1.05,0.65,0.06
WOJ. PODKARPACKIE,Powiat kolbuszowski,Raniżów,Raniżów,,Gminy wiejskie,21.965089,50.259436,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-25,"<0,3",,0.55,0.34,0.03
WOJ. PODKARPACKIE,Powiat krośnieński,Krościenko Wyżne,Krościenko Wyżne,,Gminy wiejskie,21.833925,49.658236,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-10,"<0,3",,,,
WOJ. PODKARPACKIE,Powiat leżajski,Leżajsk,Stare Miasto,,Gminy wiejskie,22.429431,50.28625,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-17,1.14,0.71,1.45,0.9,0.08
WOJ. PODKARPACKIE,Powiat lubaczowski,Wielkie Oczy,Łukawiec,,Gminy wiejskie,23.089506,50.087161,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-23,"<0,3",,0.57,0.35,0.03
